STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WT22
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-18,14.09,0.22,0,0,74,43,340,340,28,36,1,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-19,12.53,0,0,0,50,30,260,270,31.1,42.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-20,7.16,0.02,1,0,36,27,340,330,25.1,30,1,,,,,,,1,,,1,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-21,8.28,0,0,1,35,21,330,330,21,23.9,0,,,,,,,,,,,,,,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-22,4.92,0.29,0,0,36,29,310,300,12.1,14.1,1,,,1,,1,,1,,,,1,,1,,1,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-23,6.49,0,0,0,41,35,340,340,17,21,1,,,,,,,1,,,1,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-24,6.26,0,0,0,44,29,180,180,13,16.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-25,5.14,0,0,0,51,38,260,250,14.1,23.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-26,6.71,0.09,0,0,54,40,310,300,21.9,31.1,1,,,,,,,1,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-27,15.88,0,0,0,47,28,320,300,25.1,34.9,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-28,11.63,0,0,0,37,22,250,250,23,31.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-02-29,8.95,0,0,0,50,25,220,220,23.9,31.1,0,,,,,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-01,14.99,0,0,0,52,37,290,280,29.1,40,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-02,6.71,0,0,0,53,31,330,310,13,17,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-03,13.42,0,0,0,70,38,210,200,28,33.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-04,14.76,0.39,0,0,72,55,140,140,29.1,44.1,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-05,14.09,0.45,0,0,64,39,240,220,36.9,74,1,,1,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-06,5.14,0,0,0,57,37,330,330,38.9,46.1,0,,,,,,,,,1,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-07,8.05,0.59,0,0,50,39,60,60,15,17.9,1,,,,1,,1,1,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-08,12.53,0.18,0,0,65,34,250,250,46.1,59.9,1,,,,1,,,,,,1,1,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-09,13.65,0,0,0,46,29,320,310,23,33.1,0,,,,,,,,,,,,,,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-10,5.37,0,0,0,51,33,210,220,17.9,21.9,0,,,,1,,,,,,,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-11,5.14,0,0,0,54,38,160,170,13,16.1,1,,,,1,,,,,,1,,,1,,,,
USW00013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2008-03-12,10.96,0,0,0,59,40,300,300,28,45,0,,,,,,,,,,,,,,,,,
