STATION,NAME,DATE,DEWP,DEWP_ATTRIBUTES,FRSHTT,FRSHTT_ATTRIBUTES,GUST,GUST_ATTRIBUTES,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,MXSPD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,SNDP_ATTRIBUTES,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/7/2016,24.8,24,0,,999.9,,46, ,28, ,12,,0,G,1022.1,24,999.9,,19.8,24,37.6,24,10,24,5.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/8/2016,24.9,24,0,,999.9,,46, ,30, ,11.1,,0,G,1009.2,24,999.9,,6.9,24,40.7,24,10,24,7.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/9/2016,33.1,24,11000,,19,,46, ,34, ,15,,0.16,G,1003.1,15,999.9,,0.7,24,38,24,8.2,24,6.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/10/2016,18.4,24,1000,,25.1,,39.9, ,28.9, ,17.1,,0.07,G,1007.6,24,999.9,,5.3,24,33.6,24,9.7,24,10.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/11/2016,4.6,24,0,,28,,39, ,21, ,17.1,,0,G,1017.8,24,999.9,,15.6,24,26,24,10,24,13,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/12/2016,4.5,24,0,,19,,30.9, ,19, ,14,,0,G,1024.5,24,999.9,,22.2,24,24.2,24,10,24,6.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/13/2016,5.7,24,1000,,34,,30.9, ,18, ,24.1,,0,G,1021.4,20,999.9,,18.9,24,24.3,24,9.7,24,14,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/14/2016,-3.1,24,0,,25.1,,28, ,12.9, ,14,,0,G,1033.1,24,2,,30.8,24,18,24,10,24,8.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/15/2016,16.9,24,111000,,999.9,,28.9, ,12.9, ,14,,0.14,G,1031.2,13,3.1,,28.1,24,23.8,24,4.9,24,6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/16/2016,35.5,24,110000,,35,,53.1, ,19.9, ,22,,0.37,G,1006.8,12,2,,7.1,24,40.1,24,5.9,24,8.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/17/2016,30.2,24,0,,19,,53.1, ,30, ,14,,0.66,G,1015.4,24,2,,13.1,24,40.6,24,10,24,6.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/18/2016,18.1,24,0,,24.1,,48.9, ,30.9, ,17.1,,0,G,1030,24,999.9,,27.4,24,36.7,24,10,24,9.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/19/2016,14.4,24,0,,17.1,,42.1, ,26.1, ,14,,0,G,1033.1,24,999.9,,31.3,24,32.9,24,10,24,6.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/20/2016,30.8,24,0,,999.9,,64.9, ,26.1, ,15.9,,0,G,1018.2,24,999.9,,15.9,24,46.8,24,10,24,10.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/21/2016,44,24,10000,,999.9,,64.9, ,39.9, ,11.1,,0,G,1013.5,21,999.9,,10.9,24,50.7,24,8.8,24,6.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/22/2016,38.5,24,10000,,999.9,,57, ,41, ,15,,0.09,G,1018.3,23,999.9,,15.5,24,47.9,24,9.4,24,6.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/23/2016,37.2,24,10000,,20,,53.1, ,39.9, ,13,,0.07,G,1021.8,18,999.9,,18.8,24,43.3,24,6.9,24,7.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/24/2016,46.2,24,110110,,35.9,,64.9,*,42.1,*,28,,0.5,G,1013.3,11,999.9,,7.4,24,47.9,24,4.6,24,8.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/25/2016,37.1,24,10010,,28,,64.9, ,42.1, ,21,,1.05,G,995.7,24,999.9,,993.4,24,51.7,24,9.7,24,14.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/26/2016,18.9,24,1000,,35,,45,*,35.1,*,21,,0,G,1013.3,24,999.9,,11,24,38.8,24,10,24,15.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/27/2016,16.3,24,0,,21,,46.9, ,27, ,14,,0,G,1021.6,24,999.9,,19.3,24,35.9,24,10,24,7.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/28/2016,28.9,24,0,,22,,64.9, ,27, ,15.9,,0,G,1017.2,24,999.9,,14.8,24,45.1,24,10,24,7.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",2/29/2016,33.3,24,0,,32.1,,64,*,53.1,*,20,,0,G,1008.5,24,999.9,,6.2,24,57.3,24,10,24,12.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/1/2016,33.9,24,0,,21,,64.9, ,39.9, ,15,,0,G,1016.7,24,999.9,,14.4,24,52.2,24,10,24,5.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/2/2016,31.5,24,10000,,38.1,,64.9, ,36, ,31.1,,0.1,G,1008.5,24,999.9,,6.2,24,48.3,24,9.8,24,16.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/3/2016,15.3,24,1000,,21,,41,*,30,*,14,,0,H,1023.8,24,999.9,,21.5,24,34.5,24,10,24,6.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/4/2016,29.1,24,1000,,20,,42.1, ,28.9, ,14,,0.07,G,1018.9,14,999.9,,16.9,24,36,24,7.1,24,9.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/5/2016,23.9,24,0,,21,,45, ,32, ,17.1,,0.05,G,1022.2,24,999.9,,20,24,39.2,24,10,24,7.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/6/2016,30.1,24,10000,,999.9,,52, ,35.1, ,8,,0,G,1024.1,24,999.9,,21.8,24,41.7,24,9.5,24,3.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/7/2016,34.7,24,0,,20,,66, ,36, ,15.9,,0,G,1024.5,24,999.9,,22.1,24,46.9,24,9.7,24,9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/8/2016,39.9,24,0,,20,,79, ,36, ,11.1,,0,G,1020.8,24,999.9,,18.5,24,58.8,24,9.9,24,4.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/9/2016,42,24,0,,999.9,,79, ,46, ,11.1,,0,G,1019.9,24,999.9,,17.5,24,61.3,24,10,24,5.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/10/2016,51.1,24,0,,22,,79, ,46.9, ,17.1,,0,G,1017.7,24,999.9,,15.4,24,65.6,24,10,24,9.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/11/2016,51.4,24,10000,,27,,79, ,57, ,19,,0,G,1018,24,999.9,,15.7,24,68.3,24,10,24,9.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/12/2016,40.4,24,0,,999.9,,73, ,50, ,11.1,,0,G,1025.1,24,999.9,,22.8,24,56.4,24,10,24,4.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/13/2016,47.2,24,10000,,999.9,,60.8,*,51.1,*,14,,0,G,1017.1,21,999.9,,14.6,24,55.3,24,9.8,24,5.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/14/2016,47.6,24,10000,,999.9,,53.1,*,48.2,*,12,,0.45,G,1014.2,19,999.9,,11.7,24,50.5,24,7,24,8.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/15/2016,45.8,24,10000,,999.9,,64.9, ,46.9, ,14,,0.03,G,1010.5,20,999.9,,8.3,24,51.6,24,9.4,24,6.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/16/2016,51.7,24,10000,,999.9,,73.9, ,46.9, ,9.9,,0.01,A,1009.3,24,999.9,,7,24,59.8,24,9.6,24,3.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/17/2016,43.8,24,10000,,21,,73.9, ,48.9, ,13,,0,H,1010.9,24,999.9,,8.5,24,58.7,24,10,24,5.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/18/2016,27.1,24,0,,33,,69.1, ,48, ,19,,0,G,1012.8,24,999.9,,10.5,24,58.3,24,10,24,9.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/19/2016,29.6,24,11000,,21,,66.9, ,37.9, ,15,,0,G,1017.3,20,999.9,,15.3,24,48.2,24,9.8,24,9.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/20/2016,31.9,24,11000,,999.9,,57, ,37.9, ,12,,0.13,G,1018,20,999.9,,15.7,24,39.9,24,9.9,24,8.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/21/2016,26,24,11000,,28.9,,53.1, ,37, ,20,,0,G,1014.7,24,999.9,,12.3,24,42.9,24,10,24,10,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/22/2016,26,24,0,,22,,62.1,*,36,*,14,,0,G,1021.3,24,999.9,,19,24,47,24,10,24,7.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/23/2016,35,24,0,,999.9,,75, ,54, ,15.9,,0,G,1015.7,24,999.9,,13.4,24,60.6,24,10,24,11.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/24/2016,41.6,24,0,,27,,77, ,50, ,19,,0,G,1014.2,24,999.9,,11.9,24,63.2,24,10,24,9.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/25/2016,51.9,24,10000,,27,,77, ,50, ,19,,0,G,1008.1,23,999.9,,5.6,24,66.4,24,10,24,12.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/26/2016,33.3,24,0,,24.1,,72, ,41, ,19,,0.03,G,1022.8,24,999.9,,20.4,24,50.7,24,10,24,8.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/27/2016,44,24,10000,,999.9,,62.1, ,41, ,8.9,,0,G,1025.8,21,999.9,,23.4,24,53.2,24,9.8,24,6.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/28/2016,45.3,24,10000,,36.9,,70, ,48, ,25.1,,0.34,G,1010.1,18,999.9,,9,24,54.9,24,8.3,24,8.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/29/2016,30.5,24,0,,29.9,,70, ,46.9, ,22,,0.32,G,1017.4,24,999.9,,15.1,24,54.2,24,10,24,15.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/30/2016,27.1,24,0,,999.9,,63, ,41, ,15,,0,G,1026,24,999.9,,23.7,24,51.6,24,10,24,7.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",3/31/2016,46.2,24,0,,32.1,,73.9, ,41, ,22,,0,G,1016.2,24,999.9,,14,24,61.5,24,10,24,15.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/1/2016,59.3,24,10000,,25.1,,82.9, ,54, ,19,,0,G,1004.6,21,999.9,,2.5,24,70.9,24,9.8,24,13.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/2/2016,46.5,24,10000,,22.9,,82.9, ,50, ,17.1,,0.08,G,1001.5,23,999.9,,999.6,24,61,24,10,24,9.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/3/2016,23.4,24,11000,,51.1,,66, ,37, ,33,,0.07,G,1009.7,24,999.9,,6.5,24,46.1,24,9.8,24,15.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/4/2016,35.1,24,10000,,28.9,,73.9, ,37, ,22,,0,G,1011.5,24,999.9,,9.2,24,56.9,24,10,24,11.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/5/2016,22,24,1000,,32.1,,57,*,30.9,*,25.1,,0.07,G,1023.6,24,999.9,,20.9,24,41,24,10,24,15.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/6/2016,22.5,24,0,,25.1,,57, ,30, ,19,,0,G,1026.3,24,999.9,,24,24,43.7,24,10,24,9.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/7/2016,44.3,24,10000,,32.1,,64,*,51.1,*,25.1,,0.03,G,1005.9,20,999.9,,2.5,24,55.4,24,9.1,24,10.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/8/2016,30,24,0,,26,,64.9, ,43, ,15.9,,0.67,G,1005.7,24,999.9,,3.4,24,48.6,24,10,24,10.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/9/2016,29.1,24,11000,,35,,54, ,34, ,22,,0.03,G,1009,21,999.9,,6.3,24,44.2,24,9.3,24,9.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/10/2016,17.7,24,0,,28.9,,52, ,30.9, ,19,,0.14,G,1025.9,24,999.9,,23.6,24,39.5,24,10,24,9.8,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/11/2016,36.3,24,10000,,29.9,,73,*,46,*,22,,0,G,1021.9,24,999.9,,19.5,24,55,24,10,24,13.7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/12/2016,45.2,24,10000,,27,,73, ,46.9, ,18.1,,0.02,G,1016.6,24,999.9,,14.3,24,63.3,24,9.9,24,14.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/13/2016,26.4,24,0,,999.9,,68, ,43, ,15.9,,0.04,G,1027.5,24,999.9,,25.2,24,51,24,10,24,7.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/14/2016,32.7,24,0,,999.9,,64, ,39.9, ,9.9,,0,G,1026.8,24,999.9,,24.4,24,52.2,24,10,24,3.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/15/2016,35.1,24,0,,999.9,,64, ,39.9, ,11.1,,0,G,1028.9,24,999.9,,26.6,24,53.9,24,10,24,4.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/16/2016,35.9,24,0,,999.9,,72, ,42.1, ,11.1,,0,G,1029.6,24,999.9,,27.2,24,57.4,24,10,24,5.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/17/2016,36,24,0,,999.9,,73.9, ,45, ,11.1,,0,G,1030.1,24,999.9,,27.7,24,58.6,24,10,24,3.6,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/18/2016,42.2,24,0,,15.9,,84.9, ,46.9, ,12,,0,G,1024.1,24,999.9,,21.8,24,67.3,24,10,24,4.1,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/19/2016,46.9,24,0,,25.1,,84.9, ,51.1, ,19,,0,G,1018,24,999.9,,15.6,24,70.2,24,10,24,7.5,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/20/2016,27.5,24,0,,999.9,,84, ,50, ,15,,0,G,1023.7,24,999.9,,21.5,24,62.3,24,10,24,6.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/21/2016,40.7,24,0,,19,,75.9, ,48.9, ,14,,0,G,1020.8,24,999.9,,18.8,24,60.6,24,10,24,10.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/22/2016,58.2,24,10000,,999.9,,73.9,*,64,*,12,,0,G,1014,24,999.9,,11.7,24,68.5,24,10,24,8.9,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/23/2016,57.5,24,10000,,21,,75.9, ,61, ,15,,0,G,1011.2,20,999.9,,8.8,24,64.7,24,9.3,24,9.4,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/24/2016,28.9,24,0,,999.9,,71.1, ,46, ,15.9,,0.26,G,1018.1,24,999.9,,15.7,24,58.2,24,10,24,8.3,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/25/2016,45.6,24,0,,999.9,,78.1, ,46, ,9.9,,0,G,1015.8,24,999.9,,13.4,24,62,24,10,24,7,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/26/2016,55.6,24,0,,28.9,,86, ,51.1, ,20,,0,G,1007.7,24,999.9,,5.4,24,74,24,10,24,10,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/27/2016,53.9,24,10000,,999.9,,86, ,54, ,17.1,,0,G,1010.3,24,999.9,,8,24,62.5,24,9.4,24,7.2,24
72405013743,"WASHINGTON REAGAN NATIONAL AIRPORT, VA US",4/28/2016,50.3,24,10000,,999.9,,55.9,*,50,*,14,,0.03,G,1014.7,15,999.9,,12.3,24,54,24,7,24,6.6,24
